"Date
▼",Visitor/Neutral,PTS,Home/Neutral,PTS
3/13/2023,Boston Celtics,109,Houston Rockets,111
3/13/2023,Phoenix Suns,112,Golden State Warriors,123
3/13/2023,Milwaukee Bucks,133,Sacramento Kings,124
3/14/2023,Cleveland Cavaliers,120,Charlotte Hornets,104
3/14/2023,Detroit Pistons,97,Washington Wizards,117
3/14/2023,Denver Nuggets,110,Toronto Raptors,125
3/14/2023,Los Angeles Lakers,123,New Orleans Pelicans,108
3/14/2023,Brooklyn Nets,107,Oklahoma City Thunder,121
3/14/2023,Orlando Magic,114,San Antonio Spurs,132
3/14/2023,Milwaukee Bucks,116,Phoenix Suns,104
3/14/2023,New York Knicks,123,Portland Trail Blazers,107
3/15/2023,Philadelphia 76ers,118,Cleveland Cavaliers,109
3/15/2023,Memphis Grizzlies,119,Miami Heat,138
3/15/2023,Sacramento Kings,117,Chicago Bulls,114
3/15/2023,Los Angeles Lakers,110,Houston Rockets,114
3/15/2023,Boston Celtics,104,Minnesota Timberwolves,102
3/15/2023,Dallas Mavericks,137,San Antonio Spurs,128
3/15/2023,Golden State Warriors,126,Los Angeles Clippers,134
3/16/2023,Denver Nuggets,119,Detroit Pistons,100
3/16/2023,Sacramento Kings,101,Brooklyn Nets,96
3/16/2023,Oklahoma City Thunder,111,Toronto Raptors,128
3/16/2023,Indiana Pacers,139,Milwaukee Bucks,123
3/16/2023,Orlando Magic,113,Phoenix Suns,116
3/17/2023,Philadelphia 76ers,121,Charlotte Hornets,82
3/17/2023,Golden State Warriors,119,Atlanta Hawks,127
3/17/2023,Washington Wizards,94,Cleveland Cavaliers,117
3/17/2023,Minnesota Timberwolves,131,Chicago Bulls,139
3/17/2023,New Orleans Pelicans,112,Houston Rockets,114
3/17/2023,Memphis Grizzlies,126,San Antonio Spurs,120
3/17/2023,Boston Celtics,126,Portland Trail Blazers,112
3/17/2023,Dallas Mavericks,111,Los Angeles Lakers,110
3/18/2023,Denver Nuggets,110,New York Knicks,116
3/18/2023,Orlando Magic,113,Los Angeles Clippers,108
3/18/2023,Philadelphia 76ers,141,Indiana Pacers,121
3/18/2023,Minnesota Timberwolves,107,Toronto Raptors,122
3/18/2023,Miami Heat,99,Chicago Bulls,113
3/18/2023,Golden State Warriors,119,Memphis Grizzlies,133
3/18/2023,Sacramento Kings,132,Washington Wizards,118
3/18/2023,Boston Celtics,117,Utah Jazz,118
3/19/2023,Denver Nuggets,108,Brooklyn Nets,102
3/19/2023,Phoenix Suns,120,Oklahoma City Thunder,124
3/19/2023,Atlanta Hawks,118,San Antonio Spurs,126
3/19/2023,Miami Heat,112,Detroit Pistons,100
3/19/2023,New Orleans Pelicans,117,Houston Rockets,107
3/19/2023,Toronto Raptors,111,Milwaukee Bucks,118
3/19/2023,Los Angeles Clippers,117,Portland Trail Blazers,102
3/19/2023,Orlando Magic,105,Los Angeles Lakers,111
3/20/2023,Indiana Pacers,109,Charlotte Hornets,115
3/20/2023,Chicago Bulls,109,Philadelphia 76ers,105
3/20/2023,Minnesota Timberwolves,140,New York Knicks,134
3/20/2023,Golden State Warriors,121,Houston Rockets,108
3/20/2023,Dallas Mavericks,108,Memphis Grizzlies,112
3/20/2023,Sacramento Kings,120,Utah Jazz,128
3/21/2023,Washington Wizards,112,Orlando Magic,122
3/21/2023,Detroit Pistons,107,Atlanta Hawks,129
3/21/2023,Cleveland Cavaliers,115,Brooklyn Nets,109
3/21/2023,San Antonio Spurs,84,New Orleans Pelicans,119
3/21/2023,Boston Celtics,132,Sacramento Kings,109
3/21/2023,Oklahoma City Thunder,101,Los Angeles Clippers,100
3/22/2023,Denver Nuggets,118,Washington Wizards,104
3/22/2023,Golden State Warriors,127,Dallas Mavericks,125
3/22/2023,New York Knicks,120,Miami Heat,127
3/22/2023,Indiana Pacers,118,Toronto Raptors,114
3/22/2023,Philadelphia 76ers,116,Chicago Bulls,91
3/22/2023,Houston Rockets,125,Memphis Grizzlies,130
3/22/2023,San Antonio Spurs,94,Milwaukee Bucks,130
3/22/2023,Atlanta Hawks,124,Minnesota Timberwolves,125
3/22/2023,Portland Trail Blazers,127,Utah Jazz,115
3/22/2023,Phoenix Suns,111,Los Angeles Lakers,122
3/23/2023,New York Knicks,106,Orlando Magic,111
3/23/2023,Cleveland Cavaliers,116,Brooklyn Nets,114
3/23/2023,Charlotte Hornets,96,New Orleans Pelicans,115
3/23/2023,Oklahoma City Thunder,105,Los Angeles Clippers,127
3/24/2023,Indiana Pacers,95,Boston Celtics,120
3/24/2023,San Antonio Spurs,124,Washington Wizards,136
3/24/2023,Detroit Pistons,97,Toronto Raptors,118
3/24/2023,Houston Rockets,114,Memphis Grizzlies,151
3/24/2023,Charlotte Hornets,117,Dallas Mavericks,109
3/24/2023,Milwaukee Bucks,144,Utah Jazz,116
3/24/2023,Philadelphia 76ers,112,Golden State Warriors,120
3/24/2023,Chicago Bulls,124,Portland Trail Blazers,96
3/24/2023,Phoenix Suns,127,Sacramento Kings,135
3/24/2023,Oklahoma City Thunder,111,Los Angeles Lakers,116
3/25/2023,Indiana Pacers,130,Atlanta Hawks,143
3/25/2023,Brooklyn Nets,129,Miami Heat,100
3/25/2023,Milwaukee Bucks,106,Denver Nuggets,129
3/25/2023,Philadelphia 76ers,105,Phoenix Suns,125
3/25/2023,Utah Jazz,113,Sacramento Kings,121
3/25/2023,New Orleans Pelicans,131,Los Angeles Clippers,110
3/26/2023,Dallas Mavericks,104,Charlotte Hornets,110
3/26/2023,Chicago Bulls,118,Los Angeles Lakers,108
3/26/2023,Memphis Grizzlies,123,Atlanta Hawks,119
3/26/2023,San Antonio Spurs,93,Boston Celtics,137
3/26/2023,Houston Rockets,91,Cleveland Cavaliers,108
3/26/2023,Brooklyn Nets,106,Orlando Magic,119
3/26/2023,Washington Wizards,104,Toronto Raptors,114
3/26/2023,Oklahoma City Thunder,118,Portland Trail Blazers,112
3/26/2023,Minnesota Timberwolves,99,Golden State Warriors,96
3/27/2023,Milwaukee Bucks,126,Detroit Pistons,117
3/27/2023,Dallas Mavericks,127,Indiana Pacers,104
3/27/2023,Houston Rockets,115,New York Knicks,137
3/27/2023,Phoenix Suns,117,Utah Jazz,103
3/27/2023,Philadelphia 76ers,111,Denver Nuggets,116
3/27/2023,New Orleans Pelicans,124,Portland Trail Blazers,90
3/27/2023,Minnesota Timberwolves,119,Sacramento Kings,115
3/27/2023,Chicago Bulls,112,Los Angeles Clippers,124
3/28/2023,Boston Celtics,111,Washington Wizards,130
3/28/2023,Cleveland Cavaliers,118,Atlanta Hawks,120
3/28/2023,Miami Heat,92,Toronto Raptors,106
3/28/2023,Orlando Magic,108,Memphis Grizzlies,113
3/28/2023,Charlotte Hornets,137,Oklahoma City Thunder,134
3/28/2023,New Orleans Pelicans,109,Golden State Warriors,120
3/29/2023,Milwaukee Bucks,149,Indiana Pacers,136
3/29/2023,Houston Rockets,114,Brooklyn Nets,123
3/29/2023,Miami Heat,92,New York Knicks,101
3/29/2023,Dallas Mavericks,108,Philadelphia 76ers,116
3/29/2023,Los Angeles Lakers,121,Chicago Bulls,110
3/29/2023,Los Angeles Clippers,141,Memphis Grizzlies,132
3/29/2023,Detroit Pistons,106,Oklahoma City Thunder,107
3/29/2023,Utah Jazz,128,San Antonio Spurs,117
3/29/2023,Minnesota Timberwolves,100,Phoenix Suns,107
3/29/2023,Sacramento Kings,120,Portland Trail Blazers,80
3/30/2023,Boston Celtics,140,Milwaukee Bucks,99
3/30/2023,New Orleans Pelicans,107,Denver Nuggets,88
3/31/2023,Chicago Bulls,121,Charlotte Hornets,91
3/31/2023,Oklahoma City Thunder,117,Indiana Pacers,121
3/31/2023,Toronto Raptors,110,Philadelphia 76ers,117
3/31/2023,Orlando Magic,116,Washington Wizards,109
3/31/2023,Utah Jazz,114,Boston Celtics,122
3/31/2023,Atlanta Hawks,107,Brooklyn Nets,124
3/31/2023,New York Knicks,130,Cleveland Cavaliers,116
3/31/2023,Detroit Pistons,115,Houston Rockets,121
3/31/2023,Los Angeles Clippers,94,Memphis Grizzlies,108
3/31/2023,Los Angeles Lakers,123,Minnesota Timberwolves,111
3/31/2023,San Antonio Spurs,115,Golden State Warriors,130
3/31/2023,Sacramento Kings,138,Portland Trail Blazers,114
