,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_W_PCT,Visitor_E_OFF_RATING,Visitor_E_DEF_RATING,Visitor_E_NET_RATING,Visitor_E_PACE,Visitor_E_AST_RATIO,Visitor_E_OREB_PCT,Visitor_E_DREB_PCT,Visitor_E_REB_PCT,Visitor_E_TM_TOV_PCT,Home_E_OFF_RATING,Home_E_DEF_RATING,Home_E_NET_RATING,Home_E_PACE,Home_E_AST_RATIO,Home_E_OREB_PCT,Home_E_DREB_PCT,Home_E_REB_PCT,Home_E_TM_TOV_PCT,Visitor_TS%,Visitor_3P%,Home_TS%,Home_3P%
88,Miami Heat,92,Toronto Raptors,106,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.40%,34.80%,110.00%,33.50%
89,Oklahoma City Thunder,111,Toronto Raptors,128,0.0,0.488,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.00%,34.70%,110.00%,33.50%
90,Chicago Bulls,104,Toronto Raptors,113,0.0,0.488,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.30%,36.50%,110.00%,33.50%
91,Chicago Bulls,98,Toronto Raptors,104,1.0,0.488,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.30%,36.50%,110.00%,33.50%
92,Chicago Bulls,109,Toronto Raptors,105,1.0,0.488,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.30%,36.50%,110.00%,33.50%
93,Los Angeles Lakers,113,Toronto Raptors,126,0.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,114.90%,35.50%,110.00%,33.50%
94,Utah Jazz,122,Toronto Raptors,116,1.0,0.451,112.7,113.8,-1.1,103.1,18.2,0.268,0.752,0.514,0.148,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,115.80%,36.40%,110.00%,33.50%
95,Cleveland Cavaliers,105,Toronto Raptors,108,0.0,0.622,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.60%,36.70%,110.00%,33.50%
96,Cleveland Cavaliers,88,Toronto Raptors,100,1.0,0.622,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.60%,36.70%,110.00%,33.50%
97,Los Angeles Clippers,124,Toronto Raptors,113,1.0,0.537,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.40%,36.50%,110.00%,33.50%
98,Dallas Mavericks,100,Toronto Raptors,105,0.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,118.80%,37.60%,110.00%,33.50%
